toxicant,concentration_um,class,H2_GWAS,h2_GWAS,H2_widmayer,h2_widmayer
Carboxin,538.66,Fungicide,0.4738064667,0.07581512814,0.3,0.26
Triphenyl phosphate_50,50,Flame Retardant,0.6602980535,0.3372138305,0.3,0.22
Aldicarb,156.25,Carbamate Insecticide,0.6901373621,0.1741273373,0.39,0.2
Methyl mercury,15.62,Metal,0.6014721116,0.1984023409,0.12,0.06
Mancozeb,102.4,Fungicide,0.3179081985,0.1627466424,0.17,0.09
Paraquat_62.5,62.5,Herbicide,0.6223432076,0.08464524113,0.76,0.59
Lead nitrate,49.74,Metal,0.3335358591,0.2657757972,0.37,0.22
Malathion,790.12,Organophosphate Insecticide,0.4164051771,0.2143722564,0.39,0.24
Pyraclostrobin,93.75,Fungicide,0.554705046,0.2741890915,0.57,0.35
Arsenic trioxide,242.26,Metal,0.4417967269,0.0659333771,0.21,0.13
2_4-D,751.31,Herbicide,0.2999775599,0.03611844216,0.14,0.08
Methomyl,50,Carbamate Insecticide,0.6771090745,0.4337489058,0.54,0.48
Nickel dichloride,100,Metal,0.7004926985,0.3343903793,0.52,0.35
Propoxur,195.09,Carbamate Insecticide,0.2856564841,0.1044310108,0.13,0.07
Silver nitrate_250,250,Metal,0.8202887231,0.4398341107,0.45,0.38
Chlorpyrifos,2.7,Organophosphate Insecticide,0.4977338582,0.2335999819,0.35,0.23
Cadmium dichloride,100,Metal,0.6363940952,0.3068870929,0.25,0.13
Paraquat_250,250,Herbicide,0.738028281,0.506940223,0.65,0.49
Triphenyl phosphate_6.25,6.25,Flame Retardant,0.4696100108,0.1168774312,0.49,0.35
Chlorfenapyr,0.62,Pro-Insecticide,0.7700291526,0.2382872469,0.81,0.54
Carbaryl,262.14,Carbamate Insecticide,0.4925879869,0.1370858394,0.33,0.24
Copper chloride,100,Metal,0.6161512356,0.3710408622,0.14,0.08
Chlorothalonil,111.11,Fungicide,0.4320277916,0.1649684207,0.16,0.12
Zinc dichloride,50,Metal,0.3627953768,0.08071348856,0.25,0.14
Atrazine,510.2,Herbicide,0.4703265123,0.04143950444,0.11,0.07
Silver nitrate_7.8,7.8,Metal,0.327417066,0.07070144092,0.31,0.22