drug,concentration_um,"diluent ",type,class,big_class,nice_drug_label,nice_drug_label2,concentration_notes
2_4-D,751.31,DMSO,Toxicant,Herbicide,Herbicide,"2,4-D","2,4-D",
Aldicarb,156.25,DMSO,Toxicant,Carbamate Insecticide,Insecticide,Aldicarb,Aldicarb,
Arsenic trioxide,242.26,Water,Toxicant,Metal,Metal,Arsenic trioxide,Arsenic,
Atrazine,510.2,DMSO,Toxicant,Herbicide,Herbicide,Atrazine,Atrazine,
Cadmium dichloride,100,Water,Toxicant,Metal,Metal,Cadmium dichloride,Cadmium,
Carbaryl,262.14,DMSO,Toxicant,Carbamate Insecticide,Insecticide,Carbaryl,Carbaryl,
Carboxin,538.66,DMSO,Toxicant,Fungicide,Fungicide,Carboxin,Carboxin,
Chlorfenapyr,0.62,DMSO,Toxicant,Pro-Insecticide,Insecticide,Chlorfenapyr,Chlorfenapyr,
Chlorothalonil,111.11,DMSO,Toxicant,Fungicide,Fungicide,Chlorothalonil,Chlorothalonil,
Chlorpyrifos,2.7,DMSO,Toxicant,Organophosphate Insecticide,Insecticide,Chlorpyrifos,Chlorpyrifos,
Copper chloride,100,Water,Toxicant,Metal,Metal,Copper chloride,Copper,
Lead nitrate,49.74,Water,Toxicant,Metal,Metal,Lead nitrate,Lead,
Malathion,790.12,DMSO,Toxicant,Organophosphate Insecticide,Insecticide,Malathion,Malathion,
Mancozeb,102.4,DMSO,Toxicant,Fungicide,Fungicide,Mancozeb,Mancozeb,"Calculated concentration from doseCheck_processed_data is 65.5uM "
Methomyl,50,DMSO,Toxicant,Carbamate Insecticide,Insecticide,Methomyl,Methomyl,
Methyl mercury,15.62,DMSO,Toxicant,Metal,Metal,Methyl mercury,Mercury,"Calculated concentration from from doseCheck_processed_data is 16.22uM 4% diff "
Nickel dichloride,100,Water,Toxicant,Metal,Metal,Nickel dichloride,Nickel,
Paraquat_62.5,62.5,Water,Toxicant,Herbicide,Herbicide,Paraquat 62.5uM,Paraquat 62.5 uM,
Paraquat_250,250,Water,Toxicant,Herbicide,Herbicide,Paraquat 250uM,Paraquat 250 uM,
Propoxur,195.09,DMSO,Toxicant,Carbamate Insecticide,Insecticide,Propoxur,Propoxur,
Pyraclostrobin,93.75,DMSO,Toxicant,Fungicide,Fungicide,Pyraclostrobin,Pyraclostrobin,
Silver nitrate_250,250,Water,Toxicant,Metal,Metal,Silver nitrate 250uM,Silver 250 uM,
Silver nitrate_7.8,7.8,Water,Toxicant,Metal,Metal,Silver nitrate 7.8uM,Silver 7.8 uM,
Triphenyl phosphate_6.25,6.25,DMSO,Toxicant,Flame Retardant,Flame Retardant,Triphenyl phosphate 6.25uM,TPhP 6.25 uM,
Triphenyl phosphate_50,50,DMSO,Toxicant,Flame Retardant,Flame Retardant,Triphenyl phosphate 50uM,TPhP 50 uM,
Zinc dichloride,50,Water,Toxicant,Metal,Metal,Zinc dichloride,Zinc,
DMSO,0,DMSO,Control,Control,Control,DMSO,DMSO,
Water,0,Water,Control,Control,Control,Water,Water,